Row,Day,Day.Of.Week,dt,Page.Loads,Unique.Visits,First.Time.Visits,Visits
18,Wednesday,4,2014-10-01,"4,124","2,849","2,541",308
19,Thursday,5,2014-10-02,"3,514","2,489","2,239",250
20,Friday,6,2014-10-03,"3,005","2,097","1,856",241
21,Saturday,7,2014-10-04,"2,054","1,436","1,274",162
22,Sunday,1,2014-10-05,"2,847","1,913","1,713",200
23,Monday,2,2014-10-06,"4,501","3,181","2,853",328
24,Tuesday,3,2014-10-07,"4,603","3,163","2,804",359
25,Wednesday,4,2014-10-08,"4,187","3,014","2,663",351
26,Thursday,5,2014-10-09,"4,343","2,864","2,545",319
27,Friday,6,2014-10-10,"3,565","2,382","2,1",282
28,Saturday,7,2014-10-11,"2,08","1,457","1,28",177
29,Sunday,1,2014-10-12,"3,031","2,089","1,856",233
49,Saturday,7,2014-11-01,"2,202","1,496","1,27",226
50,Sunday,1,2014-11-02,"3,083","2,204","1,94",264
51,Monday,2,2014-11-03,"4,376","3,057","2,629",428
52,Tuesday,3,2014-11-04,"4,704","3,141","2,739",402
53,Wednesday,4,2014-11-05,"4,306","3,2","2,797",403
54,Thursday,5,2014-11-06,"4,178","3,034","2,627",407
55,Friday,6,2014-11-07,"3,236","2,318","1,975",343
56,Saturday,7,2014-11-08,"2,01","1,536","1,345",191
57,Sunday,1,2014-11-09,"2,901","2,141","1,849",292
58,Monday,2,2014-11-10,"4,754","3,325","2,885",440
59,Tuesday,3,2014-11-11,"4,417","3,203","2,793",410
60,Wednesday,4,2014-11-12,"4,535","3,351","2,897",454
79,Monday,2,2014-12-01,"5,266","3,877","3,317",560
80,Tuesday,3,2014-12-02,"5,795","4,274","3,7",574
81,Wednesday,4,2014-12-03,"5,728","4,217","3,656",561
82,Thursday,5,2014-12-04,"5,293","3,83","3,295",535
83,Friday,6,2014-12-05,"3,934","2,856","2,479",377
84,Saturday,7,2014-12-06,"3,071","2,165","1,855",310
85,Sunday,1,2014-12-07,"3,876","2,984","2,582",402
86,Monday,2,2014-12-08,"5,878","4,375","3,829",546
87,Tuesday,3,2014-12-09,"5,712","4,187","3,635",552
88,Wednesday,4,2014-12-10,"5,491","4,074","3,48",594
89,Thursday,5,2014-12-11,"5,144","3,801","3,247",554
90,Friday,6,2014-12-12,"3,88","2,86","2,418",442
109,We,Thursday,5,2015-01-01,"1,265",876,715,161
111,Friday,6,2015-01-02,"1,948","1,288","1,03",258
112,Saturday,7,2015-01-03,"1,742","1,096",946,150
113,Sunday,1,2015-01-04,"1,896","1,409","1,186",223
114,Monday,2,2015-01-05,"3,033","2,062","1,706",356
115,Tuesday,3,2015-01-06,"3,445","2,327","1,942",385
116,Wednesday,4,2015-01-07,"3,423","2,384","1,991",393
117,Thursday,5,2015-01-08,"3,319","2,272","1,922",350
118,Friday,6,2015-01-09,"2,783","1,941","1,663",278
119,Saturday,7,2015-01-10,"1,952","1,24","1,066",174
120,Sunday,1,2015-01-11,"2,245","1,611","1,391",220
121,Monday,2,2015-01-12,"3,928","2,518","2,125",393
